,tokens,text
407,please vote for us in the honolulu advertiser 's best of the best contest we 're list in best green company and hyperlink,Please vote for us in The Honolulu Advertiser's Best of the Best contest - We're listed in Best Green Company and... http://bit.ly/aZceyp
408,rise electric bill get out of hand in your home statename business companyreference can help hyperlink,Rising electric bills getting out of hand in your home or business? Green Convergence can help! http://bit.ly/99VSpB
423,rt @votesolar a new solar lease product offer by @companyreference year no money down wow hyperlink,"RT @votesolar A new solar lease product, offered by @sungevity 10 years, no money down. wow. http://ow.ly/1dSEh"
427,ever curious what optimal solar weather be companyreference bring you the fact hyperlink,Ever curious what optimal #solar weather is? Sungevity bringing you the facts! http://ow.ly/1el5f
430,two more day to vote make us the honolulu 's best of the best in solar and green company category hyperlink,Two more days to vote!Make us The Honolulu's BEST of the BEST in SOLAR and GREEN company categories!... http://bit.ly/9pNjuu
431,two more day to vote make us the honolulu advertiser 's best of the best in solar and green company category hyperlink,Two more days to vote!Make us The Honolulu Advertiser's BEST of the BEST in SOLAR and GREEN company categories!... http://bit.ly/c5FKcT
438,smart meter in statename they be go to help people understand their consumption big step in become more efficient hyperlink,Smart meters in CA. They are going to help people understand their consumption. Big step in becoming more efficient. http://ow.ly/1eR4x
456,solarcraft have complete it ' project for the napa valley vintner ' association yuummmm wine hyperlink,"SolarCraft has completed it's project for the Napa Valley Vintners' Association! yuummmm, wine :)  http://tinyurl.com/yh5tas9"
481,the smart grid cometh read danny k 's late on sfgate 's city brights hyperlink,The Smart Grid Cometh... Read Danny K's latest on SFGate's City Brights. http://ow.ly/1iDWM
488,one more cool solar gadget for you iphone enthusiast out there come with app hyperlink,One more cool solar gadget for you iphone enthusiasts out there. Comes with app! http://ow.ly/1iwup
489,solar open house solar seminar this datereference alone kapahulu kailua and mililani twice companyreference ' get hyperlink,"4 Solar Open Houses & 1 Solar Seminar this weekend alone! Kapahulu, Kailua and Mililani( twice)   RevoluSun's got... http://bit.ly/9iCJs3"
491,remote solar design be make go solar easy and affordable companyreference in the news again hyperlink,Remote #solar design is making going solar easy and affordable. Sungevity in the news again! http://ow.ly/1kyo7
493,usermention @jobvite @solarfr thanks for the mention companyreference in the news affordable and easy solar for all hyperlink,"@votesolar, @jobvite, @SolarFred, thanks for the mentions. Sungevity in the news, affordable and easy #solar for all. http://ow.ly/1l9UC"
510,another great example of solar be a great investment check out what these chilean community be do hyperlink,Another great example of #solar being a great investment. Check out what these Chilean communities are doing. http://ow.ly/1lecl
513,i post photo on facebook in the album companyreference 's revolution hyperlink,"I posted 8 photos on Facebook in the album ""RevoluSun's Revolutions"" http://bit.ly/8mw43M"
515,us governor put forward recommendation to white house for renewable energy action hyperlink,29 US Governors put forward recommendations to White House for Renewable Energy Action. http://ow.ly/1n7Qx
523,rt @solarfr water and concentrate solar power vs coal water usage hyperlink can we please compare,RT @SolarFred: Water and Concentrated #Solar Power vs. Coal Water Usage http://ow.ly/1nWwe Can we please compare?
544,help us declare our energy independence by sign on to the solar bill of right become one of the first energy hyperlink,"Help us declare our energy independence by signing on to The Solar Bill 
of Rights.  Become one of the first Energy... http://bit.ly/9rOVtm"
545,do you know where your electricity come from great map and post that explain hyperlink,Do you know where your electricity comes from? Great map and post that explains. http://ow.ly/1oGmJ
549,a lighting expert can help you achieve not only maximum saving but also maximum visual comfort lighting expert hyperlink,"A lighting expert can help you achieve not only maximum savings, but also maximum visual comfort.  Lighting experts... http://bit.ly/9m3Ha8"
562,green collar job solar awesome in so many way new companyreference blog post up hyperlink,"Green Collar jobs! #Solar, awesome in so many ways. New Sungevity blog post up. http://ow.ly/1q2S5"
574,a lighting expert can help you achieve not only maximum saving but also maximum visual comfort lighting expert hyperlink,"A lighting expert can help you achieve not only maximum savings, but also maximum visual comfort. Lighting experts... http://bit.ly/c36utm"
575,a lighting expert can help you achieve not only maximum saving but also maximum visual comfort lighting expert hyperlink,"A lighting expert can help you achieve not only maximum savings, but also maximum visual comfort. Lighting experts... http://bit.ly/cilaWr"
576,a lighting expert can help you achieve not only maximum saving but also maximum visual comfort lighting expert hyperlink,"A lighting expert can help you achieve not only maximum savings, but also maximum visual comfort. Lighting experts... http://bit.ly/cVIP1x"
577,a lighting expert can help you achieve not only maximum saving but also maximum visual comfort lighting expert hyperlink,"A lighting expert can help you achieve not only maximum savings, but also maximum visual comfort. Lighting experts... http://bit.ly/buPylq"
582,come to wailupe circle solar open house datereference from timereference to timereference companyreference invite the public to view a hyperlink,"Come to ""Wailupe Circle Solar Open House"" Tomorrow from 9:00 am to 5:00 pm. RevoluSun invites the public to view a... http://bit.ly/c9tYO8"
584,us bank and companyreference work together to bring solar to all check out our late news hyperlink,US Bank and Sungevity working together to bring solar to all. Check out our latest news. http://ow.ly/1rsbN
594,thanks rt @diyenergy companyreference see solar boom with launch of lease program hyperlink,Thanks! RT @diyenergy: Sungevity sees solar boom with launch of lease program http://bit.ly/cQ1Z2O
595,ian mcewan 's new book solar take on global warming with a comic flair have anyone read yet hyperlink,"Ian McEwan's new book #Solar, takes on global warming with a ""comic flair."" Has anyone read yet? http://ow.ly/1sh00"
596,what an amazing datereference solar seminar 's and open house all over oahu companyreference have an amazing team of hyperlink,What an amazing weekend!  2 Solar Seminar's and 5 Open Houses all over Oahu.  RevoluSun has an amazing team of... http://bit.ly/cVyuJq
600,vote for companyreference on cityname gate 's best of the bay list hyperlink,"Vote for Sungevity on SF Gate's ""Best of the Bay List"" http://ow.ly/1snbR"
620,day until keiki kokua day and then kokua fest companyreference be proud to be spread the word of solar energy as hyperlink,21 days until Keiki Kokua Day and then Kokua Fest!  RevoluSun is proud to be spreading the word of solar energy as... http://bit.ly/dbMwgU
622,do not forget to vote for companyreference on cityname gate 's best of the bay hyperlink,Don't forget to Vote for Sungevity on SF Gate's Best of the Bay! http://ow.ly/1sndb
628,what set companyreference apart in part our rsd team check them out hyperlink,"What sets Sungevity apart? In part, our RSD team. Check them out. http://ow.ly/1udq9"
635,an alternative to obama 's offshore drilling plan late companyreference blog be up hyperlink,An alternative to Obama's offshore drilling plan. Latest Sungevity blog is up. http://ow.ly/1uUtR
638,sign up for our free commercial solar webinar learn how solar can benefit your business hyperlink,Sign up for our free commercial solar webinar! Learn how solar can benefit your business! http://bit.ly/cDAynt
648,the new plan to save civilization yup it ' solar new companyreference blog post up hyperlink,"The New Plan to Save Civilization? Yup, it's #Solar. New Sungevity Blog post up. http://ow.ly/1vM0d"
652,statename smart growth late companyreference blog be up and ready to be read hyperlink,#California Smart Growth. Latest Sungevity Blog is up and ready to be read! http://ow.ly/1w9wF
655,week till kokua festival companyreference be prepare experiment for the student that will be attend hyperlink,"2 weeks till Kokua Festival!!!!! RevoluSun is preparing experiments for the 1,200 students that will be attending... http://bit.ly/ddNyG3"
659,booth at the green festival all day come stop by and say statename hyperlink,Booth 414 at the Green Festival all day! come stop by and say hi! http://ow.ly/1wFo2
662,last day of the green festival if you have not already come stop by and say statename booth hyperlink,Last day of the Green Festival. If you haven't already come stop by and say hi! Booth 414. http://ow.ly/1wFpj
663,usermention get a solar quote month hyperlink get a hassle free quote within hour from companyreference hyperlink,@SolarFred Get a #solar quote month! http://ow.ly/1wFT8  Get a hassle free quote within 24 hours from #Sungevity! http://ow.ly/1wFU7
664,sign up for our free commercial solar webinar on datereference at timereference est find out how solar benefit your business hyperlink,Sign up for our free commercial solar webinar on April 14 at 2:00 pm EST.  Find out how solar benefits your business! http://bit.ly/cDAynt
678,visit hyperlink and use our energy calculator to see how much you could be save with solar energy come hyperlink,Visit www.revolusun.com and use our Energy Calculator to see how much you could be saving with solar energy. Come... http://bit.ly/b5v2oE
679,stop by the companyreference booth in the eco square at the iolani fair this datereference datereference we will have ton of fun hyperlink,Stop by the RevoluSun booth in the eco-square at the Iolani Fair this Friday & Saturday.  We'll have tons of fun... http://bit.ly/9NScJ8
681,go to the cityname indie award nomination mixer last night lot of fun some great cityname company out there hyperlink,Went to the #Oakland Indie Awards Nomination mixer last night. Lots of fun. Some great Oakland companies out there! http://ow.ly/1ysxQ
683,this be a cool series of blog from nova about one woman 's quest to become more energy efficient hyperlink,this is a  cool series of blogs from Nova about one woman's quest to become more energy efficient. http://ow.ly/1yzZ5
684,voting be still open for cityname gate 's best of the bay do not hold back vote for companyreference hyperlink,"Voting is still open for SF Gate's Best of the Bay. Don't hold back, vote for Sungevity! http://ow.ly/1sngu"
692,go watch our new uploaded video on you tube search companyreference hyperlink,Go watch our new uploaded videos on You Tube. Search: RevoluSun http://bit.ly/dspTW7
693,i post photo on facebook in the album companyreference 's revolution hyperlink,"I posted 10 photos on Facebook in the album ""RevoluSun's Revolutions"" http://bit.ly/8mw43M"
694,come to come view our upcoming event on companyreference com today at timereference until lt br gt datereference datereference at timereference hyperlink,"Come to ""Come View our Upcoming Events on RevoluSun.com!"" Today at 7:20 pm until &lt;br /&gt;Monday, April 26 at 10:20... http://bit.ly/bRBSnO"
695,be down at the iolani fair this datereference come by our booth at the eco square we have solar power remote control hyperlink,"is down at the Iolani Fair this weekend! Come by our booth at the Eco-Square, we have solar powered remote control... http://bit.ly/9CKCu5"
703,as we tackle our environmental challenge it clear that change win t come from statename alone it will come from american obama,"""As we tackle our environmental challenges, its clear that change wont come from Washington alone. It will come from Americans..."" -Obama"
717,rt @companyreference put your tax dollar to work @votesolar want your support for three solar bill hyperlink,RT @Sungevity Put your tax dollars to work. @Votesolar wants your support for three #solar bills. http://ow.ly/1Atnr
721,what statename can learn from ontario about go solar hyperlink via @companyreference,What LA can learn from Ontario about going #solar. http://ow.ly/1xzwp via @sungevity
722,be get ready for earth day companyreference will be participate in earth day event across the island hyperlink,is getting ready for Earth Day!!!!  RevoluSun will be participating in 4 Earth Day events across the island:... http://bit.ly/cEg0Oa
727,come to kokua fest datereference datereference from timereference to timereference come join companyreference at kokua fest enjoy the hyperlink,"Come to ""Kokua Fest"" Saturday, April 24 from 3:00 pm to 10:00 pm. Come join RevoluSun at Kokua Fest. Enjoy the... http://bit.ly/bctN17"
728,come to solar open house datereference datereference from timereference to timereference come join us at our solar open house and hyperlink,"Come to ""Solar Open House"" Saturday, April 24 from 10:00 am to 4:00 pm. Come join us at our Solar Open House and... http://bit.ly/9jBUqb"
729,come to solar open house datereference datereference from timereference to timereference come join us for a solar open house and learn hyperlink,"Come to ""Solar Open House"" Saturday, May 1 from 11:00 am to 4:00 pm. Come join us for a solar open house and learn... http://bit.ly/dnqBAB"
743,limited offer for statename lanai maui molokai commercial rebate for light datereference datereference hyperlink,"Limited Offer for Hawaii, Lanai, Maui, Molokai Commercial Rebate for Lighting: Apr 1-Jun 30 http://hawaiienergy.com/rebates/"
750,cityname county fair be come up come visit our booth in the exhibit hall to enter for a chance to win a free hyperlink,San Diego County Fair is coming up! Come visit our booth in the Exhibit Hall to enter for a chance to win a FREE... http://bit.ly/d0BFA3
751,day two of kokua festival what a perfect day in statename come by our tent in the eco village our tent be locate hyperlink,"Day Two of Kokua Festival.  What a perfect day in Hawaii, come by our tent in the Eco Village.  Our tent is located... http://bit.ly/cioNtJ"
755,solar panel be instal on the sony electronics hqs parking garage to collect energy for the local utility company hyperlink,Solar panels are installed on the Sony Electronics HQs parking garage to collect energy for the local utility company http://bit.ly/9Xwphq
759,rt @companyreference solar on the white house be on facebook fan us and keep the momentum roll hyperlink,RT @Sungevity: Solar on the White House is on facebook!  Fan us and keep the momentum rolling. http://ow.ly/1DkcA
773,keep your earth day resolution every day should be earth day new companyreference blog post be up hyperlink,Keep your Earth Day resolutions! Every day should be earth day. New Sungevity blog post is up. http://ow.ly/1DSw6
780,ideally your central air conditioning compressor should be locate on a shady side of your house because it have to hyperlink,"Ideally, your central air-conditioning compressor should be located on a shady side of your house because it has to... http://bit.ly/alsNWj"
793,if you 're a business owner consider go solar statename not please come join us tonight for a glass of wine hyperlink,"If you're a business owner considering going solar (or not), please come joins us tonight for a glass of wine!! http://tinyurl.com/27rjetu"
798,companyreference expand in italy with new solar park complete million euro hyperlink,SunEdison Expands in Italy with 12 New Solar Parks; Completes 47 Million Euro ... http://bit.ly/cdzZoX
808,the statename energy commission estimate that the average home waste $ a year because of leaky ductwork and hyperlink,The California Energy Commission estimates that the average home wastes $487 a year because of leaky ductwork and... http://bit.ly/cJq8LF
814,in case you have not you should become a companyreference fan on facebook hyperlink,"In case you haven't, you should become a Sungevity fan on Facebook! http://ow.ly/1GvSC"
817,the fierce urgency of now it ' time to take care of our climate late companyreference blog post be up hyperlink,The Fierce Urgency of Now. It's time to take care of our climate. Latest Sungevity blog post is up. http://ow.ly/1GwAH
822,by use companyreference companyreference be able to take the maintenance burden off homeowner hyperlink,"By using SunRun, Verengo is able to take the maintenance burden off homeowners http://www.sunrunhome.com/"
828,as sunpower s only premier dealer in honolulu companyreference be proud to say our partner have unveil a new more hyperlink,"As SunPowers only PREMIER dealer in Honolulu, RevoluSun is proud to say our partner has unveiled a new, more... http://bit.ly/bGpegy"
848,rt @greenbusiness base on company that buy green power america 's green company hyperlink via @forbe @oppgreen,RT @greenbusinesses: Based on companies that bought green power: America's Greenest Companies http://cot.ag/bB4j7G via @forbes @oppgreen
852,shine baby shine time for a new chant companyreference blog post be up hyperlink,"Shine Baby, Shine! Time for a new chant. Sungevity blog post is up. http://ow.ly/1Iilo"
866,usermention maybe it ' time to buy a new one you can do a consumption comparison too,"@ryannamba Maybe it's time to buy a new one. You can do a consumption comparison, too!"
874,usermention @solarfactory @solarfr @getsolar good morning and happy ecomonday,@solardude1 @solarfactory @solarfred @getsolar Good morning and happy #EcoMonday!
880,green energy statename 's annual conference and year anniversary come this datereference in columbus statename this be hyperlink,Green Energy Ohio's Annual conference (and 10-year anniversary) coming this Saturday in Columbus Ohio. (This is... http://bit.ly/bc2dBn
886,thanks rt @marianneoconnor let 's get solar on the white house companyreference be make a great offer hyperlink,Thanks! RT @marianneoconnor: Let's get solar on the White House! Sungevity is making a great offer. http://j.mp/962ScY
887,it ' save water energy and money week on the companyreference blog hyperlink,"It's save water, energy and money week on the Sungevity blog! http://ow.ly/1JHz1"
896,learn about solar at the companyreference booth at the boating fun fest in koko marina datereference th and enjoy a free hot hyperlink,"Learn about solar at the RevoluSun booth at the Boating Fun Fest in Koko Marina, May 15th, and enjoy a free hot... http://bit.ly/bZKndx"
903,want to say thank you to uahi island grill for cater our chamber of commerce event last week uahi island grill hyperlink,Want to say thank you to Uahi Island Grill for catering our Chamber of Commerce event last week. Uahi Island grill... http://bit.ly/akWA0K
906,be instal system in kailua aiea and kaneohe today open house come soon hyperlink,"is installing systems in Kailua, Aiea and Kaneohe today.  Open Houses coming soon!!! http://bit.ly/a5eWoZ"
913,today we be instal system in mililani kapolei and another one in kaneohe more open house come soon aloha hyperlink,"Today we are installing systems in Mililani, Kapolei and another one in Kaneohe.  More open houses coming soon. Aloha. http://bit.ly/a2CvE7"
920,off with your bulb companyreference energy efficiency week continue hyperlink,Off with your bulbs! Sungevity energy efficiency week continues. http://ow.ly/1KOlF
922,usermention thank you let 's encourage everyone to conserve energy and become more energy efficient together,@JSA808 Thank you! Let's encourage everyone to conserve energy and become more energy efficient together!
933,come to solar open house datereference from timereference to timereference come visit us at our next solar home show event this hyperlink,"Come to ""Solar Open House"" Tomorrow from 11:00 am to 3:00 pm. Come visit us at our next Solar Home Show event this... http://bit.ly/dr1BEP"
939,all over the island today we be instal pv system in aina haina kaneohe and waimanalo join the companyreference hyperlink,"All over the island.....today we are installing PV systems in Aina Haina, Kaneohe and Waimanalo.  Join the RevoluSun! http://bit.ly/av6JNv"
989,come to cityname home improvement show datereference at timereference until lt br gt datereference datereference at timereference come hyperlink,"Come to ""Orange County Home Improvement Show"" Tomorrow at 10:00 am until &lt;br /&gt;Sunday, May 23 at 5:00 pm. Come... http://bit.ly/cqi6Lr"
1018,the long hot summer day be come learn how to turn that sun into saving visit hyperlink and schedule hyperlink,The long hot summer days are coming! Learn how to turn that sun into savings...visit www.revolusun.com and schedule... http://bit.ly/bQDVwl
1030,look forward to datereference 's today we be instal system in aina haina kaimuki and manoa open house come hyperlink,"looks forward to Monday's!  Today we are installing systems in Aina Haina, Kaimuki and Manoa.  Open Houses coming... http://bit.ly/dq3eLv"
1044,rt @kitv kitv com statename resident buy new refrigerator for rebate hyperlink,RT @KITV4 KITV.com Hawaii Residents Buying New Refrigerators For Rebates http://bit.ly/dsgWkp
1047,energy independence begin at home companyreference blog up check it out hyperlink,Energy independence begins at home! Sungevity blog up. check it out. http://ow.ly/1PHbg
1061,rt @gregwile microsoft hohm say statename home be top shelf when it come to energy efficiency hyperlink,RT @GregWiles Microsoft Hohm says Hawaii homes are top shelf when it comes to energy efficiency http://bit.ly/9YCusD
1066,new video @verengosolar 's ken button on cnn local edition talk about how the company make go solar easy hyperlink,New video!: @VerengoSolar's Ken Button on CNN Local Edition talking about how the company makes going solar easy http://youtu.be/M0_4KpTjITw
1074,go green carbon clean molokai cfl project community survey analysis by @blueplanetfound hyperlink,"Go Green & Carbon Clean - Molokai CFL Project ""Community Survey Analysis"" by @BluePlanetFound http://ow.ly/1Qnah"
1076,join the companyreference and be the first on your street to produce clean renewable electricity with a photovoltaic hyperlink,"Join the RevoluSun and be the first on your street to produce clean, renewable electricity with a photovoltaic... http://bit.ly/a59C7Q"
1086,we promise to bring solarpower to as many home as possible and create greenjobs in our community,We #promise to bring #solarpower to as many homes as possible and create #greenjobs in our community!
1119,rt @sustainableuh not attend uhm yet our community college have sustainable organization too hyperlink,RT @sustainableUH Not attending UHM yet? Our community colleges have sustainable organizations too! http://bit.ly/ciCA2f
