,tokens,text
194,sunation solar system be a full service solar power installation company locate in oakdale long island we never subcontract,"SUNATION Solar Systems is a full service solar power installation company located in Oakdale, Long Island. We NEVER subcontract."
205,the san francisco chamber of commerce be so th century @dannyksfun check out our pres protest climatechange hyperlink,"""The [San Francisco] chamber of commerce is so 20th century"" -@dannyksfun Check out our Pres. protesting #climatechange: http://ow.ly/DLCi"
224,another revolusun member receive there plaque datetime from the recent sei advanced photovoltaics design criterion and nec compliance training,Another RevoluSun member received there Plaque today from the recent SEI Advanced Photovoltaics:Design Criteria and NEC Compliance training.
238,be hold a solar open house this saturday@ parker pl manoa valley please come by and learn from our staff about this system,"is holding a Solar Open House this Saturday@ 2432 Parker Pl.(Manoa Valley)
Please come by and learn from our staff about this system."
258,attend a free solar open house in aina haina this datetime to find out how to become energy independent all hyperlink,Attend a free solar open house in Aina Haina this Sunday to find out how to become energy independent.  All... http://bit.ly/6Ptzqs
260,attend a free solar open house in aina haina this datetime to find out how to become energy independent all hyperlink,Attend a free solar open house in Aina Haina this Sunday to find out how to become energy independent. All... http://bit.ly/8u1nKz
294,come to solar open house in kailua saturday datetime from datetime to pm come see how it all work hyperlink,"Come to ""Solar Open House in Kailua"" Saturday, January 23 from 9:00 am to 3:00 pm. Come see how it all works! http://bit.ly/4qrEOt"
323,come to solar open house in manoa saturday datetime from datetime to pm learn how you can become hyperlink,"Come to ""2/13 Solar Open House in Manoa"" Saturday, February 13 from 9:00 am to 3:00 pm. Learn how you can become... http://bit.ly/dxOh1g"
326,solar become more and more affordable soon utility will pay homeowner for excess energy hyperlink,"#Solar becomes more and more affordable!  Soon, utilities will pay homeowners for excess energy! http://tinyurl.com/yjh3xre"
333,the statename energy commission estimate that the average home waste $ a year because of leaky ductwork and hyperlink,The California Energy Commission estimates that the average home wastes $487 a year because of leaky ductwork and... http://bit.ly/br4CAr
342,please help us spread news of the solar industry by become a fan of ours on facebook hyperlink,Please help us spread news of the Solar industry by becoming a fan of ours on #facebook  http://tinyurl.com/yd3bvm8
383,most excellent loan come through for big solar complex in the world locate in the us hyperlink,Most excellent! Loans coming through for biggest solar complex in the world! located in the US! http://ow.ly/1auno
407,please vote for us in the honolulu advertiser 's best of the best contest we 're list in best green company and hyperlink,Please vote for us in The Honolulu Advertiser's Best of the Best contest - We're listed in Best Green Company and... http://bit.ly/aZceyp
430,two more day to vote make us the honolulu 's best of the best in solar and green company category hyperlink,Two more days to vote!Make us The Honolulu's BEST of the BEST in SOLAR and GREEN company categories!... http://bit.ly/9pNjuu
431,two more day to vote make us the honolulu advertiser 's best of the best in solar and green company category hyperlink,Two more days to vote!Make us The Honolulu Advertiser's BEST of the BEST in SOLAR and GREEN company categories!... http://bit.ly/c5FKcT
438,smart meter in ca they be go to help people understand their consumption big step in become more efficient hyperlink,Smart meters in CA. They are going to help people understand their consumption. Big step in becoming more efficient. http://ow.ly/1eR4x
456,solarcraft have complete it ' project for the napa valley vintner ' association yuummmm wine hyperlink,"SolarCraft has completed it's project for the Napa Valley Vintners' Association! yuummmm, wine :)  http://tinyurl.com/yh5tas9"
481,the smart grid cometh read danny k 's late on sfgate 's city brights hyperlink,The Smart Grid Cometh... Read Danny K's latest on SFGate's City Brights. http://ow.ly/1iDWM
488,one more cool solar gadget for you iphone enthusiast out there come with app hyperlink,One more cool solar gadget for you iphone enthusiasts out there. Comes with app! http://ow.ly/1iwup
510,another great example of solar be a great investment check out what these chilean community be do hyperlink,Another great example of #solar being a great investment. Check out what these Chilean communities are doing. http://ow.ly/1lecl
515,us governor put forward recommendation to white house for renewable energy action hyperlink,29 US Governors put forward recommendations to White House for Renewable Energy Action. http://ow.ly/1n7Qx
523,rt @solarfr water and concentrate solar power vs coal water usage hyperlink can we please compare,RT @SolarFred: Water and Concentrated #Solar Power vs. Coal Water Usage http://ow.ly/1nWwe Can we please compare?
544,help us declare our energy independence by sign on to the solar bill of right become one of the first energy hyperlink,"Help us declare our energy independence by signing on to The Solar Bill 
of Rights.  Become one of the first Energy... http://bit.ly/9rOVtm"
545,do you know where your electricity come from great map and post that explain hyperlink,Do you know where your electricity comes from? Great map and post that explains. http://ow.ly/1oGmJ
549,a lighting expert can help you achieve not only maximum saving but also maximum visual comfort lighting expert hyperlink,"A lighting expert can help you achieve not only maximum savings, but also maximum visual comfort.  Lighting experts... http://bit.ly/9m3Ha8"
574,a lighting expert can help you achieve not only maximum saving but also maximum visual comfort lighting expert hyperlink,"A lighting expert can help you achieve not only maximum savings, but also maximum visual comfort. Lighting experts... http://bit.ly/c36utm"
575,a lighting expert can help you achieve not only maximum saving but also maximum visual comfort lighting expert hyperlink,"A lighting expert can help you achieve not only maximum savings, but also maximum visual comfort. Lighting experts... http://bit.ly/cilaWr"
576,a lighting expert can help you achieve not only maximum saving but also maximum visual comfort lighting expert hyperlink,"A lighting expert can help you achieve not only maximum savings, but also maximum visual comfort. Lighting experts... http://bit.ly/cVIP1x"
577,a lighting expert can help you achieve not only maximum saving but also maximum visual comfort lighting expert hyperlink,"A lighting expert can help you achieve not only maximum savings, but also maximum visual comfort. Lighting experts... http://bit.ly/buPylq"
595,ian mcewan 's new book solar take on global warming with a comic flair have anyone read yet hyperlink,"Ian McEwan's new book #Solar, takes on global warming with a ""comic flair."" Has anyone read yet? http://ow.ly/1sh00"
638,sign up for our free commercial solar webinar learn how solar can benefit your business hyperlink,Sign up for our free commercial solar webinar! Learn how solar can benefit your business! http://bit.ly/cDAynt
662,last day of the green festival if you have not already come stop by and say hi booth hyperlink,Last day of the Green Festival. If you haven't already come stop by and say hi! Booth 414. http://ow.ly/1wFpj
664,sign up for our free commercial solar webinar on datetime at datetime est find out how solar benefit your business hyperlink,Sign up for our free commercial solar webinar on April 14 at 2:00 pm EST.  Find out how solar benefits your business! http://bit.ly/cDAynt
678,visit hyperlink and use our energy calculator to see how much you could be save with solar energy come hyperlink,Visit www.revolusun.com and use our Energy Calculator to see how much you could be saving with solar energy. Come... http://bit.ly/b5v2oE
681,go to the oakland indie award nomination mixer last night lot of fun some great oakland company out there hyperlink,Went to the #Oakland Indie Awards Nomination mixer last night. Lots of fun. Some great Oakland companies out there! http://ow.ly/1ysxQ
683,this be a cool series of blog from nova about one woman 's quest to become more energy efficient hyperlink,this is a  cool series of blogs from Nova about one woman's quest to become more energy efficient. http://ow.ly/1yzZ5
694,come to come view our upcoming event on revolusun com datetime at datetime until lt br gt monday datetime at hyperlink,"Come to ""Come View our Upcoming Events on RevoluSun.com!"" Today at 7:20 pm until &lt;br /&gt;Monday, April 26 at 10:20... http://bit.ly/bRBSnO"
695,be down at the iolani fair this weekend come by our booth at the eco square we have solar power remote control hyperlink,"is down at the Iolani Fair this weekend! Come by our booth at the Eco-Square, we have solar powered remote control... http://bit.ly/9CKCu5"
703,as we tackle our environmental challenge it clear that change win t come from statename alone it will come from american obama,"""As we tackle our environmental challenges, its clear that change wont come from Washington alone. It will come from Americans..."" -Obama"
727,come to kokua fest saturday datetime from datetime to datetime come join revolusun at kokua fest enjoy the hyperlink,"Come to ""Kokua Fest"" Saturday, April 24 from 3:00 pm to 10:00 pm. Come join RevoluSun at Kokua Fest. Enjoy the... http://bit.ly/bctN17"
728,come to solar open house saturday datetime from datetime to pm come join us at our solar open house and hyperlink,"Come to ""Solar Open House"" Saturday, April 24 from 10:00 am to 4:00 pm. Come join us at our Solar Open House and... http://bit.ly/9jBUqb"
729,come to solar open house saturday datetime from datetime to pm come join us for a solar open house and learn hyperlink,"Come to ""Solar Open House"" Saturday, May 1 from 11:00 am to 4:00 pm. Come join us for a solar open house and learn... http://bit.ly/dnqBAB"
743,limited offer for statename lanai maui molokai commercial rebate for light datetime jun hyperlink,"Limited Offer for Hawaii, Lanai, Maui, Molokai Commercial Rebate for Lighting: Apr 1-Jun 30 http://hawaiienergy.com/rebates/"
750,san diego county fair be come up come visit our booth in the exhibit hall to enter for a chance to win a free hyperlink,San Diego County Fair is coming up! Come visit our booth in the Exhibit Hall to enter for a chance to win a FREE... http://bit.ly/d0BFA3
751,day two of kokua festival what a perfect day in statename come by our tent in the eco village our tent be locate hyperlink,"Day Two of Kokua Festival.  What a perfect day in Hawaii, come by our tent in the Eco Village.  Our tent is located... http://bit.ly/cioNtJ"
755,solar panel be instal on the sony electronics hqs parking garage to collect energy for the local utility company hyperlink,Solar panels are installed on the Sony Electronics HQs parking garage to collect energy for the local utility company http://bit.ly/9Xwphq
780,ideally your central air conditioning compressor should be locate on a shady side of your house because it have to hyperlink,"Ideally, your central air-conditioning compressor should be located on a shady side of your house because it has to... http://bit.ly/alsNWj"
793,if you 're a business owner consider go solar or not please come join us tonight for a glass of wine hyperlink,"If you're a business owner considering going solar (or not), please come joins us tonight for a glass of wine!! http://tinyurl.com/27rjetu"
798,sunedison expand in italy with new solar park complete million euro hyperlink,SunEdison Expands in Italy with 12 New Solar Parks; Completes 47 Million Euro ... http://bit.ly/cdzZoX
808,the statename energy commission estimate that the average home waste $ a year because of leaky ductwork and hyperlink,The California Energy Commission estimates that the average home wastes $487 a year because of leaky ductwork and... http://bit.ly/cJq8LF
814,in case you have not you should become a sungevity fan on facebook hyperlink,"In case you haven't, you should become a Sungevity fan on Facebook! http://ow.ly/1GvSC"
848,rt @greenbusiness base on company that buy green power america 's green company hyperlink via @forbe @oppgreen,RT @greenbusinesses: Based on companies that bought green power: America's Greenest Companies http://cot.ag/bB4j7G via @forbes @oppgreen
866,usermention maybe it ' time to buy a new one you can do a consumption comparison too,"@ryannamba Maybe it's time to buy a new one. You can do a consumption comparison, too!"
874,usermention @solarfactory @solarfr @getsolar good datetime and happy ecomonday,@solardude1 @solarfactory @solarfred @getsolar Good morning and happy #EcoMonday!
880,green energy statename 's annual conference and year anniversary come this datetime in columbus statename this be hyperlink,Green Energy Ohio's Annual conference (and 10-year anniversary) coming this Saturday in Columbus Ohio. (This is... http://bit.ly/bc2dBn
903,want to say thank you to uahi island grill for cater our chamber of commerce event last week uahi island grill hyperlink,Want to say thank you to Uahi Island Grill for catering our Chamber of Commerce event last week. Uahi Island grill... http://bit.ly/akWA0K
906,be instal system in kailua aiea and kaneohe today open house come soon hyperlink,"is installing systems in Kailua, Aiea and Kaneohe today.  Open Houses coming soon!!! http://bit.ly/a5eWoZ"
913,datetime we be instal system in mililani kapolei and another one in kaneohe more open house come soon aloha hyperlink,"Today we are installing systems in Mililani, Kapolei and another one in Kaneohe.  More open houses coming soon. Aloha. http://bit.ly/a2CvE7"
922,usermention thank you let 's encourage everyone to conserve energy and become more energy efficient together,@JSA808 Thank you! Let's encourage everyone to conserve energy and become more energy efficient together!
933,come to solar open house datetime from datetime to pm come visit us at our next solar home show event this hyperlink,"Come to ""Solar Open House"" Tomorrow from 11:00 am to 3:00 pm. Come visit us at our next Solar Home Show event this... http://bit.ly/dr1BEP"
989,come to orange county home improvement show datetime at datetime until lt br gt sunday datetime at pm come hyperlink,"Come to ""Orange County Home Improvement Show"" Tomorrow at 10:00 am until &lt;br /&gt;Sunday, May 23 at 5:00 pm. Come... http://bit.ly/cqi6Lr"
1018,the long hot summer day be come learn how to turn that sun into saving visit hyperlink and schedule hyperlink,The long hot summer days are coming! Learn how to turn that sun into savings...visit www.revolusun.com and schedule... http://bit.ly/bQDVwl
1030,look forward to monday 's datetime we be instal system in aina haina kaimuki and manoa open house come hyperlink,"looks forward to Monday's!  Today we are installing systems in Aina Haina, Kaimuki and Manoa.  Open Houses coming... http://bit.ly/dq3eLv"
1044,rt @kitv kitv com statename resident buy new refrigerator for rebate hyperlink,RT @KITV4 KITV.com Hawaii Residents Buying New Refrigerators For Rebates http://bit.ly/dsgWkp
1061,rt @gregwile microsoft hohm say statename home be top shelf when it come to energy efficiency hyperlink,RT @GregWiles Microsoft Hohm says Hawaii homes are top shelf when it comes to energy efficiency http://bit.ly/9YCusD
1066,new video @verengosolar 's ken button on cnn local edition talk about how the company make go solar easy hyperlink,New video!: @VerengoSolar's Ken Button on CNN Local Edition talking about how the company makes going solar easy http://youtu.be/M0_4KpTjITw
1074,go green carbon clean molokai cfl project community survey analysis by @blueplanetfound hyperlink,"Go Green & Carbon Clean - Molokai CFL Project ""Community Survey Analysis"" by @BluePlanetFound http://ow.ly/1Qnah"
1086,we promise to bring solarpower to as many home as possible and create greenjobs in our community,We #promise to bring #solarpower to as many homes as possible and create #greenjobs in our community!
1119,rt @sustainableuh not attend uhm yet our community college have sustainable organization too hyperlink,RT @sustainableUH Not attending UHM yet? Our community colleges have sustainable organizations too! http://bit.ly/ciCA2f
1131,become a fan on fb of solar on the white house to make sure you get all the update hyperlink,Become a fan on FB of Solar on the White House to make sure you get all the updates. http://ow.ly/1RkKh
1142,we 're go to be at mulberry market in piedmont ca give solar quote come swing by and say hi,we're going to be at Mulberry Market in #Piedmont #CA giving #solar quotes! come swing by and say hi!
1157,be instal photovoltaic system in kaimuki statename kai and waimanalo today open house come soon learn how hyperlink,"is installing Photovoltaic systems in Kaimuki, Hawaii Kai and Waimanalo today!  Open Houses coming soon!  Learn how... http://bit.ly/ciNWo6"
1182,usa in first place for energy consumption come on folk let 's let another country take over hyperlink,"USA in first place for energy consumption. Come on folks, let's let another country take over. http://ow.ly/1Ugqg"
1190,welcome opening remark now by sharon miyashiro statename energy policy forum and jay fidell think tech statename hced,Welcome & opening remarks now by Sharon Miyashiro (Hawaii Energy Policy Forum) and Jay Fidell (Think Tech Hawaii) #hced2010
1194,jay fidell be the moderator energy industry need to collaborate nature to compete but necessary to work together hced,"Jay Fidell is the moderator. Energy industry needs to collaborate. Nature to compete, but necessary to work together. #hced2010"
1201,upcoming statename ev grant and rebate program asia pacific clean energy summit and expo hced,"Upcoming: Hawaii EV Grant and Rebate Program, Asia Pacific Clean Energy Summit and Expo #hced2010"
1231,check out these new aesthetically solar panel that be start to come out no more excuse go solar now hyperlink,"Check out these new aesthetically #solar panels that are starting to come out. No more excuses, go solar now. http://ow.ly/1UaiF"
1238,rt @bilbrayca ecomonday solar @solarindustry @ecowesome @solarnovu @solarfr @pvmagazine @careersinsolar @trish solar @solarfeed,RT @BilbrayCA50: #EcoMonday #Solar: @SolarIndustry @ecowesome @SolarNovus @SolarFred @pvmagazine @careersinsolar @trish_solar @solarfeeds
1254,rt @solaroy can you believe there be a group of company offer a free kw solar system to the white house hyperlink,RT @solaroy: Can you believe there is a group of companies offering a free 17kW #solar system to the White House http://bit.ly/aXxAhP
1273,mikulina sharing about @blueplanetfound 's accomplishment and ask america to step up for clean energy bill,Mikulina sharing about @BluePlanetFound's accomplishments and asking America to step up for clean energy bill.
1278,instal system kaimuki and in statename kai today more open house come soon hyperlink,Installing systems Kaimuki and 2 in Hawaii Kai today.  More open houses coming soon... http://bit.ly/dmL69i
1279,rt @pacificbiznew statename public utility commission approve contract for renewable energy group sime darby hyperlink,"RT @pacificbiznews Hawaii Public Utilities Commission approves contracts for Renewable Energy Group, Sime Darby http://bit.ly/9z4kpX"
1287,usermention oh believe me i barely make a dent in that thing how come we could not compare energy relate company instead,"@JSA808 Oh, believe me, I barely made a dent in that thing. How come we couldn't compare energy-related companies instead?"
1289,usermention good point either way i wish we could have pick our own company or at least gather our own material,"@JSA808 Good point! Either way, I wish we could have picked our own companies or at least gather our own materials."
1314,rt @starpolitic statename award a $ m eis contract for an undersea wind energy cable between lanai molokai and oahu to aecom,"RT @starpolitics Hawaii awards a $2.9m EIS contract for an undersea wind energy cable between Lanai, Molokai and Oahu to AECOM."
1320,state of hawai i select aecom to prepare the undersea interisland cable environmental impact statement hyperlink,STATE OF HAWAI`I SELECTS AECOM TO PREPARE THE UNDERSEA INTERISLAND CABLE ENVIRONMENTAL IMPACT STATEMENT http://ow.ly/1X0Dw
1339,rt @statenamereport state of statename select aecom to prepare the undersea interisland cable environmental impact statement hyperlink,RT @HawaiiReporter State of Hawaii Selects AECOM to Prepare the Undersea Interisland Cable Environmental Impact Statement http://ur.ly/fZ50
1347,usermention we 're hard at work today you can also combine use your ac with a fan to save more energy,@loafers We're hard at work today! You can also combine using your AC with a fan to save more energy.
1356,usermention you 're welcome mahalo for blogging about reduce plastic consumption and statename energy hope you 're have a great weekend,@PinkStar26 You're welcome! Mahalo for blogging about reducing plastic consumption and Hawaii Energy! Hope you're having a great weekend!
1360,thanks maybe next time i will be in one rt @ryannamba @mystatenameenergy just saw the energy star trade up commercial on tv look great,Thanks! Maybe next time I'll be in one! RT @ryannamba @MyHawaiiEnergy Just saw the Energy Star & Trade-up commercials on TV -- looked great!
1361,celebrate the sun sun food refreshment get free expert advice for your residential or commercial solar hyperlink,"CELEBRATE THE SUN!!
SUN, FOOD, & REFRESHMENTS!
Get free expert advice for your residential or commercial solar... http://bit.ly/8ZVOaB"
1367,the statename solar initiative application process be simple it begin by complete a quick free energy hyperlink,"The California Solar Initiative application process is simple.  It begins by completing a quick, free energy... http://bit.ly/dqdWJG"
1371,rt @terrasolar solar cell to become more efficient and economical lonad news hyperlink,RT @terrasolar: Solar Cells to become more efficient and economical - lonad News http://bit.ly/ca8a2Z
1381,solarday datetime th that this weekend bring your electric bill and receive a free quote on become energy hyperlink,"SolarDay 2010, June 19th, Thats THIS weekend!
Bring your electric bill and receive a free quote on becoming energy... http://bit.ly/c0fbxj"
1382,good morning i have be busy try to set up my new phone these thing be complicated,Good morning! I've been busy trying to set up my new phone. These things are complicated!
1384,check out our facebook picture of instal residential home and commercial job hyperlink,Check out our Facebook! Pictures of Installed Residential home and Commercial jobs! http://bit.ly/cPrtdq
1388,we need community organization to help us with our small business direct install lighting program dm for info,We need community organizations to help us with our Small Business Direct Install Lighting program! DM for info.
1392,already have solar come anyway and learn about our quickly grow endorsement program and how to pay for that hyperlink,Already have solar? Come anyway and learn about our quickly growing endorsement program and how to pay for that... http://bit.ly/9SNXoI
1395,usermention datetime th check out peak power solution bring your electric bill and receive a free quote on become energy tustin ca,"@thegreenbuzz June 19th! Check out Peak Power Solutions. Bring your electric bill and receive a free quote on becoming energy, Tustin, CA"
1414,we need community organization to help us with our small business direct install lighting program dm for info,We need community organizations to help us with our Small Business Direct Install Lighting program! DM for info.
1446,come to solum ' nola a community education event saturday datetime from datetime to pm come learn about hyperlink,"Come to ""Sola' Nola- A Community Education Event"" Saturday, June 19 from 11:00 am to 2:00 pm. Come learn about... http://fb.me/zPq0LQw0"
1447,rt @altenergywebpar solarfeeds com residential solar power now available with the click of a mouse in statename hyperlink ful,RT @AltEnergyWebPar: SolarFeeds.com: Residential Solar Power Now Available with the Click of a Mouse in Arizona http://bit.ly/aoOmBn Ful ...
1458,rt @sustainableuh basic tip on residential recycling share by maui 's community work day program hyperlink,RT @sustainableUH Basic tips on residential recycling (shared by Maui's Community Work Day Program) http://ow.ly/203Ic
1462,rt @altenergywebpar solarfeeds com grid alternative the lsquo habitat for humanity rsquo of the solar hyperlink full h,RT @AltEnergyWebPar: SolarFeeds.com: GRID Alternatives: The &lsquo;Habitat for Humanity&rsquo; of the Solar: http://bit.ly/9JvU33 Full h ...
1520,rt @blueplanetfound get involve now come join us on datetime to stop oil spill and support clean energy hyperlink,RT @BluePlanetFound Get involved NOW! Come join us on June 26 to stop oil spills and support clean energy!! www.handsacrossthesandhawaii.org
1562,stay tune remain application will be collect distribute through an upcoming program visit hyperlink for update,Stay tuned! Remaining applications will be collected & distributed through an upcoming program. Visit www.hawaiienergy.com for updates.
1578,celebrate this independence day by go solar join the revolusun and become energy independent let the sun pay hyperlink,Celebrate this independence day by going solar! Join the RevoluSun and become energy independent. Let the sun pay... http://fb.me/BpdtnA5T
1658,rt @taigacompany reduce waste teach your kid about the environment by show them how to compost hyperlink,RT @TaigaCompany: Reduce waste - teach your kids about the environment by showing them how to compost http://bit.ly/dwIrSE
1670,hey jerry brown put solar on your home show statenamens how it ' do hyperlink check his iquote at sungevity com guv,Hey Jerry Brown! Put solar on your home! show Californians how it's done! http://ow.ly/25kxA Check his iQuote at sungevity.com/guv
1681,mahalo statename for vote revolusun best of the best in category we be the only solar company nominate hyperlink,"Mahalo Hawaii for voting RevoluSun ""Best of the Best"" in 2 categories! We were the only solar company nominated... http://fb.me/w2yQ2POJ"
1698,rt @taigacompany kind of fun recycle circuit board credit card holder hyperlink,RT @TaigaCompany: Kind of fun! Recycled Circuit Board Credit Card Holder http://bit.ly/a53doC
1705,rt @tustinca we love our unique local business they need all of us join us and support our community hyperlink,RT @TustinCA: We love our unique local businesses & they need all of us. Join us and support our community. http://ow.ly/25VVq
1726,point and click solar yup that ' how we do it hyperlink try for yourself at sungevity com,"Point and Click #Solar. Yup, that's how we do it! http://ow.ly/26t15  Try for yourself at sungevity.com."
1751,we celebrate our first year with a party at bellow datetime and datetime we welcome steve and helen to the statename energy team,We celebrated our first year with a party at Bellows yesterday and today we welcome Steve and Helen to the Hawaii Energy team!
1772,come to beach cleanup at sandy beach saturday datetime from datetime to pm come join revolusun and hyperlink,"Come to ""Beach Cleanup! at Sandy Beach"" Saturday, July 10 from 10:00 am to 11:30 pm. Come join RevoluSun and... http://fb.me/E7P7VOSr"
1782,rt @climatecentral rt @whitehouseostp totd sol plane solar plane land after complete hour flight hyperlink,RT @ClimateCentral: RT @whitehouseostp: #TOTD Sol Plane: Solar plane lands after completing 24-hour flight http://yhoo.it/9M61Rx
1801,your energy independent neighborhood how can community work together hyperlink,Your energy independent neighborhood! How can communities work together? http://ow.ly/29qJk
1834,would like to say mahalo to everyone that come out for the sandy 's beach cleanup up special thanks to the statename hyperlink,would like to say Mahalo to everyone that came out for the Sandy's beach cleanup up.  Special thanks to the Hawaii... http://fb.me/BuwYdiSm
1851,graphic designer jackson black from statename dc compliment statename energy 's graphic hyperlink,Graphic designer Jackson Black from Washington DC compliments Hawaii Energy's graphics! http://ow.ly/2aUfH
1868,come to solar display by joule saturday datetime from datetime to datetime come visit the german coast farmer ' hyperlink,"Come to ""Solar Display by Joule"" Saturday, July 17 from 8:00 am to 11:00 am. Come visit The German Coast Farmers'... http://fb.me/DhJzbsqu"
1881,funny but too true when will we really decide to become energy independent hyperlink,"Funny, but too true.  When will we really decide to become energy independent? http://fb.me/BEcoAvFg"
1914,shopping for cfls look for our private label statename energy package at city mill costco and walmart to come,Shopping for CFLs? Look for our private label Hawaii Energy packages at City Mill. Costco and Walmart to come.
1931,check out the contestant for the @energystar national building competition hyperlink,Check out the contestants for the @ENERGYSTAR National Building Competition http://ow.ly/2dDWg
1933,welcome home revolusun partner mark duda from his trip to the intersolar expo in statename last week this hyperlink,welcomed home RevoluSun partner Mark Duda from his trip to the InterSolar 2010 Expo in California Last week. This... http://fb.me/AdRpIyw4
1938,rt @staradvertiser state use federal stimulus fund to increase energy efficiency in low income home hyperlink,RT @StarAdvertiser State uses federal stimulus funds to increase energy efficiency in low-income homes http://dlvr.it/2pYGW
1957,rt @hcei now be the time for comprehensive clean energy legislation to save statename hyperlink,RT @HCEI2030 Now is the time for comprehensive clean energy legislation to save Hawaii http://bit.ly/b3FacS
1961,good morning i be start the day a little earlier as i be tune into an @energystar webinar on how to launch an energy competition,Good morning! I'm starting the day a little earlier as I'm tuning into an @ENERGYSTAR webinar on How to launch an energy competition.
1962,two solar panel assembly company be go to build plant in statename and statename green job woooo hyperlink,Two solar panel assembly companies are going to build plants in Oregon and Nevada! Green jobs woooo! http://ow.ly/2eE60
1972,rt @pacificbiznew rec solar completes solar installation for kapolei inline hockey arena hyperlink,RT @pacificbiznews REC Solar completes solar installation for Kapolei Inline Hockey Arenas http://bit.ly/dfOHV6
1984,rt @sunpeople people power progress rt @solarknowledge r half of new power in u s last year come from renewables hyperlink,RT @SunPeople: People powered progress! RT @SolarKnowledge: R1 Half of New Power in U.S. Last Year Came from Renewables http://nxy.in/8r ...
1993,energy competition presenter from the @energystar webinar datetime be from cushman wakefield and louisville kilowatt crackdown,Energy competition presenters from the @ENERGYSTAR webinar yesterday were from Cushman & Wakefield and Louisville Kilowatt Crackdown.
1998,rt @hcei kaua'i prepare to order charger to comply with new law add electric vehicle to their county fleet hyperlink,RT @HCEI2030 Kaua'i prepares to order chargers to comply with new law & add 5 electric vehicles to their county fleet http://bit.ly/9N9ElG
1999,rt @livegreenmom let 's hear it for green ff friend @greenenergynew @vyouz @denversolarguy @rareplanet @taigacompany,RT @LiveGreenMom: Let's hear it for #GREEN #FF friends! @GreenEnergyNews @vyouz @denversolarguy @RarePlanet @TaigaCompany
2009,usermention you 're very welcome happy aloha datetime and have a great weekend,@EnviroFusion You're very welcome! Happy Aloha Friday and have a great weekend!
2032,usermention you 're welcome let us know if you need anything else good luck with the new business,@SportsYogaHI You're welcome! Let us know if you need anything else. Good luck with the new business!
